Campaign report
1 May 2025 - 31 May 2025
Conversion action,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPM,Avg. CPC,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.
add_to_cart,Paused,GD remarketing,3.00, --,Daily,EUR,Paused,campaign paused,Display,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
purchase,Paused,GD remarketing,3.00, --,Daily,EUR,Paused,campaign paused,Display,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
obchod_kategoria_produkt,Paused,GD remarketing,3.00, --,Daily,EUR,Paused,campaign paused,Display,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Paused,GD remarketing,3.00, --,Daily,EUR,Paused,campaign paused,Display,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Paused,GD remarketing,3.00, --,Daily,EUR,Paused,campaign paused,Display,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart,Paused,SE_brand,2.00, --,Daily,EUR,Paused,campaign paused,Search,0,0, --,0,0,0, --,0,0,Target CPA, --,97.42,0,3.00,0
purchase,Paused,SE_brand,2.00, --,Daily,EUR,Paused,campaign paused,Search,0,0, --,0,0,0, --,0,0,Target CPA, --,0.00,0,1.00,0
Sanaplant.sk (web) purchase,Paused,SE_brand,2.00, --,Daily,EUR,Paused,campaign paused,Search,0,0, --,0,0,0, --,0,0,Target CPA, --,57.29,0,2.00,0
obchod_kategoria_produkt,Paused,SE_brand,2.00, --,Daily,EUR,Paused,campaign paused,Search,0,0, --,0,0,0, --,0,0,Target CPA, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,SE_brand,2.00, --,Daily,EUR,Paused,campaign paused,Search,0,0, --,0,0,0, --,0,0,Target CPA, --,"2,049.09",0,35.91,0
Sanaplant.sk (web) view_item,Paused,SE_brand,2.00, --,Daily,EUR,Paused,campaign paused,Search,0,0, --,0,0,0, --,0,0,Target CPA, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Paused,SE_brand,2.00, --,Daily,EUR,Paused,campaign paused,Search,0,0, --,0,0,0, --,0,0,Target CPA, --,892.94,0,10.00,0
 --,Total: Filtered campaigns, --, --, --, --,EUR, --,, --,0,0, --,0,0,0, --,0,0, --, --,"3,096.74",0,51.91,0
