Campaign report
1 September 2025 - 30 September 2025
Conversion action,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPM,Avg. CPC,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.
add_to_cart,Paused,PMax_REM_sales_products,5.00, --,Daily,EUR,Paused,campaign paused; All asset groups paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
purchase,Paused,PMax_REM_sales_products,5.00, --,Daily,EUR,Paused,campaign paused; All asset groups paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
Sanaplant.sk (web) purchase,Paused,PMax_REM_sales_products,5.00, --,Daily,EUR,Paused,campaign paused; All asset groups paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,5.19,0,0.51,0
obchod_kategoria_produkt,Paused,PMax_REM_sales_products,5.00, --,Daily,EUR,Paused,campaign paused; All asset groups paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,PMax_REM_sales_products,5.00, --,Daily,EUR,Paused,campaign paused; All asset groups paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Paused,PMax_REM_sales_products,5.00, --,Daily,EUR,Paused,campaign paused; All asset groups paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Paused,PMax_REM_sales_products,5.00, --,Daily,EUR,Paused,campaign paused; All asset groups paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
add_to_cart,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
add_to_cart_book,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
purchase,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) purchase,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,"3,301.03",0,70.35,0
obchod_kategoria_produkt,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,434.84,0,4.98,0
 --,Total: Filtered campaigns, --, --, --, --,EUR, --,, --,0,0, --,0,0,0, --,0,0, --, --,"3,741.06",0,75.84,0
 --,Total: Filtered campaigns, --, --, --, --,EUR, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
 --,Total: Filtered campaigns, --, --, --, --, --, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
[830b] Google for WooCommerce purchase action,Total: Filtered campaigns, --, --, --, --, --, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
Sanaplant.sk (web) purchase,Total: Filtered campaigns, --, --, --, --, --, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
 --,Total: Filtered campaigns, --, --, --, --, --, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
[830b] Google for WooCommerce purchase action,Total: Filtered campaigns, --, --, --, --,EUR, --,, --,0,0, --,0,0,0, --,0,0, --, --,434.84,0,4.98,0
Sanaplant.sk (web) purchase,Total: Filtered campaigns, --, --, --, --,EUR, --,, --,0,0, --,0,0,0, --,0,0, --, --,"3,306.22",0,70.86,0
,Total: Account,,,,,EUR,,,,"193,457","4,547",2.35%,0.16,730.95,"4,310",2.23%,3.78,0.17,,1.67%,"3,741.06",5.12,75.84,9.64
add_to_cart_book,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,0.00,0,0.00,0
Sanaplant.sk (web) purchase,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,"3,306.22",0,70.86,0
Sanaplant.sk (web) add_to_cart,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,0.00,0,0.00,0
obchod_kategoria_produkt,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,0.00,0,0.00,0
add_to_cart,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,434.84,0,4.98,0
Sanaplant.sk (web) view_item,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,0.00,0,0.00,0
purchase,Total: Account,,,,,,,,,0,0, --,0,0,0, --,0,0,, --,0.00,0,0.00,0
,Total: Search,,,,,EUR,,,Search,0,0, --,0,0.00,0, --,0,0,,0.00%,0.00,0.00,0.00,0.00
,Total: Display,,,,,EUR,,,Display,0,0, --,0,0.00,0, --,0,0,,0.00%,0.00,0.00,0.00,0.00
,Total: Performance Max,,,,,EUR,,,Performance Max,"193,457","4,547",2.35%,0.16,730.95,"4,310",2.23%,3.78,0.17,,1.67%,"3,741.06",5.12,75.84,9.64
