Campaign report
1 October 2025 - 31 October 2025
Conversion action,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPM,Avg. CPC,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.
add_to_cart,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart_book,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,324.29,0,13.98,0
purchase,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
purchase_book,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,2.99,0
Sanaplant.sk (web) purchase,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
obchod_kategoria_produkt,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
begin_checkout,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart_book,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,330.71,0,23.99,0
purchase,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
purchase_book,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,4.01,0
Sanaplant.sk (web) purchase,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
obchod_kategoria_produkt,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
begin_checkout,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,34.99,0
add_to_cart_book,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
purchase,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
purchase_book,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) purchase,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,"2,699.69",0,75.25,0
obchod_kategoria_produkt,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,104.83,0,1.50,0
begin_checkout,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,13.95,0
 --,Total: Filtered campaigns, --, --, --, --,EUR, --,, --,0,0, --,0,0,0, --,0,0, --, --,"3,459.52",0,170.67,0
 --,Total: Filtered campaigns, --, --, --, --,EUR, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
 --,Total: Filtered campaigns, --, --, --, --, --, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
[830b] Google for WooCommerce purchase action,Total: Filtered campaigns, --, --, --, --, --, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
add_to_cart,Total: Filtered campaigns, --, --, --, --, --, --,, --,0,0, --,0,0,0, --,0,0, --, --,0,0,0,0
