Campaign report
1 June 2026 - 30 June 2026
Conversion action,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPM,Avg. CPC,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.
add_to_cart,Paused,PMax - obilniny,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,6.29,0
purchase,Paused,PMax - obilniny,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,333.39,0,3.25,0
Sanaplant.sk (web) purchase,Paused,PMax - obilniny,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
obchod_kategoria_produkt,Paused,PMax - obilniny,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,PMax - obilniny,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Paused,PMax - obilniny,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,0.00,0
begin_checkout,Paused,PMax - obilniny,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversion Value, --,0.00,0,3.22,0
add_to_cart,Paused,PMax - listové hnojivá,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,2.84,0
purchase,Paused,PMax - listové hnojivá,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,20.90,0,0.33,0
Sanaplant.sk (web) purchase,Paused,PMax - listové hnojivá,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
obchod_kategoria_produkt,Paused,PMax - listové hnojivá,7.00, --,Daily,EUR,Paused,campaign paused; most asset groups limited by policy; Products are excluded,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
