"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku","Cena za 3-sekundové prehranie videa (EUR)","3-second video plays rate per impressions",ThruPlays
2026-06-01,2026-06-30,"Foli Max",sanaplant_05-07/26,not_delivering,2026-05-13,Prebieha,5,Denne,3.07,,,,,,2.461909,1247,1088,1.14614,9,0.341111,0.721732,0.643382,,,,0,0,5,0.614,10,0.307,,,,,,
2026-06-01,2026-06-30,"ZDRAVÁ UHORKA - CELOROČNÁ OCHRANA",sanaplant_boosting_traffic,not_delivering,2026-05-20,2026-06-19,40,Celkový,23.6,,,,,,1.331979,17718,8976,1.97393,678,0.034808,3.826617,5.770945,,,,0,0,519,0.045472,1436,0.016435,,11,15,0.032597,4.08624,154
2026-06-01,2026-06-30,"Sanaplant Poradňa | Škvrnité listy ríbezlí a egrešov",sanaplant_boosting_traffic,not_delivering,2026-05-20,2026-06-03,25,Celkový,4.59,,,,,,0.858425,5347,4357,1.227221,84,0.054643,1.570974,1.744319,,,,0,0,68,0.0675,1522,0.003016,1,2,,0.003232,26.556948,648
2026-06-01,2026-06-30,"Foli Max",sanaplant_05-07/26,not_delivering,2026-05-26,Prebieha,5,Denne,73.42,46.52,0.633615,2,36.71,23.26,4.358563,16845,7004,2.405054,259,0.283475,1.537548,2.727013,16,4.58875,225.79,1.388889,0.769231,144,0.509861,281,0.261281,,1,4,24.473333,0.017809,
2026-06-01,2026-06-30,"Sivanto Prime",sanaplant_05-07/26,inactive,2026-05-26,Prebieha,5,Denne,149.98,886.19,5.908721,9,16.664444,98.465556,2.937789,51052,15414,3.312054,1062,0.141224,2.080232,4.924095,34,4.411176,1187.35,1.386749,0.845865,649,0.231094,2182,0.068735,1,12,24,0.146179,2.009716,159
2026-06-01,2026-06-30,"Vrtivka čerešňová",sanaplant_05-07/26,inactive,2026-05-28,Prebieha,5,Denne,5.62,,,,,,1.076216,5222,4348,1.201012,90,0.062444,1.723478,1.885925,,,,0,0,45,0.124889,102,0.055098,1,,2,1.405,0.076599,3
2026-06-01,2026-06-30,"Laudis – spoľahlivý pomocník v boji s burinou pri pestovaní kukurice",sanaplant_05-07/26,inactive,2026-05-28,Prebieha,5,Denne,4.66,,,,,,1.542025,3022,2331,1.296439,53,0.087925,1.753805,2.187902,2,2.33,69.2,0,0,31,0.150323,53,0.087925,,,,,,
2026-06-01,2026-06-30,"Gunner = presnosť, sila a spoľahlivosť v každom postreku",sanaplant_05-07/26,inactive,2026-05-28,Prebieha,5,Denne,87.55,390.76,4.463278,3,29.183333,130.253333,3.907784,22404,8070,2.776208,376,0.232846,1.678272,3.742255,10,8.755,1327.05,1.265823,0.797872,237,0.369409,401,0.218329,,3,5,,,
2026-06-01,2026-06-30,"Barbarian Super 360",sanaplant_05-07/26,inactive,2026-05-28,Prebieha,5,Denne,6.47,,,,,,2.561362,2526,2203,1.146618,60,0.107833,2.375297,2.632773,,,,0,0,35,0.184857,65,0.099538,,,2,,,
2026-06-01,2026-06-30,"Šikovný gazda vie, čím ochráni svoju úrodu.",sanaplant_05-07/26,inactive,2026-05-28,Prebieha,5,Denne,111.24,686.94,6.175297,5,22.248,137.388,2.994589,37147,12774,2.908016,1112,0.100036,2.993512,5.53468,26,4.278462,5711.97,0.738552,0.44964,677,0.164313,1531,0.072658,,8,19,0.315127,0.950279,63
2026-06-01,2026-06-30,"Nedovoľte stresu zastaviť rast vašich plodín",sanaplant_boosting_traffic,not_delivering,2026-06-05,2026-06-19,25,Celkový,24.98,,,,,,1.892854,13197,6804,1.939594,327,0.076391,2.477836,3.997648,2,12.49,178.62,0,0,241,0.103651,2608,0.009578,,1,4,0.011083,17.079639,1560
2026-06-01,2026-06-30,"​ sanaplant_vybrane_produkty",sanaplant_catalog_2026,inactive,2026-06-05,Prebieha,5,Denne,31.05,63.06,2.030918,1,31.05,63.06,5.620927,5524,754,7.32626,123,0.252439,2.226647,9.018568,3,10.35,64.29,1.428571,0.813008,70,0.443571,125,0.2484,,,,,,
2026-06-01,2026-06-30,kukurica,sanaplant_catalog_2026,inactive,2026-06-05,Prebieha,5,Denne,7.12,,,,,,2.030225,3507,2583,1.357724,38,0.187368,1.083547,1.277584,1,7.12,58.06,0,0,18,0.395556,38,0.187368,,,,,,
2026-06-01,2026-06-30,"zltnutie vinica",sanaplant_catalog_2026,active,2026-06-05,Prebieha,"Using test budget",Denne,120.53,1462.22,12.131586,15,8.035333,97.481333,2.495807,48293,11327,4.26353,1174,0.102666,2.430994,6.14461,82,1.469878,80355.43,2.209131,1.27011,679,0.177511,1261,0.095583,2,18,17,,,
2026-06-01,2026-06-30,"listové hnojivá",sanaplant_catalog_2026,inactive,2026-06-05,Prebieha,5,Denne,30.04,20.65,0.687417,1,30.04,20.65,2.161307,13899,6647,2.091019,192,0.156458,1.381394,2.19648,3,10.013333,289.1,0.847458,0.507614,118,0.254576,202,0.148713,,1,,,,
2026-06-01,2026-06-30,obilniny,sanaplant_catalog_2026,inactive,2026-06-05,Prebieha,5,Denne,0.94,,,,,,1.450617,648,457,1.417943,7,0.134286,1.080247,1.531729,,,,0,0,4,0.235,7,0.134286,,,,,,
2026-06-01,2026-06-30,"Nedovoľte stresu zastaviť rast vašich plodín",sanaplant_boosting_traffic,not_delivering,2026-06-08,2026-06-18,25,Celkový,24.95,,,,,,1.526367,16346,8457,1.932837,312,0.079968,1.908724,3.038903,,,,0,0,214,0.116589,1471,0.016961,,4,2,0.022099,6.906889,960
2026-06-01,2026-06-30,"Biele pásiky na listoch ovsa?",sanaplant_boosting,not_delivering,2026-06-16,2026-06-30,25,Celkový,24.96,,,,,,1.89263,13188,6999,1.884269,,,,,,,,0,0,,,1971,0.012664,,,7,0.014804,12.784349,242
2026-06-01,2026-06-30,"Laudis – spoľahlivý pomocník v boji s burinou pri pestovaní kukurice",sanaplant_boosting_traffic,not_delivering,2026-06-22,2026-07-06,25,Celkový,15.39,,,,,,1.128713,13635,7825,1.742492,216,0.07125,1.584158,2.376997,,,,0,0,160,0.096188,488,0.031537,,,3,0.061807,1.826183,207
2026-06-01,2026-06-30,"Šikovný gazda vie, čím ochráni svoju úrodu.",sanaplant_boosting_traffic,inactive,2026-06-23,Prebieha,5,Denne,7.62,,,,,,1.736159,4389,3519,1.247229,125,0.06096,2.848029,3.012219,2,3.81,33.96,0,0,83,0.091807,134,0.056866,,1,,1.27,0.136705,
2026-06-01,2026-06-30,"Nakupovať-Šikovný gazda vie, čím ochráni svoju úrodu.",sanaplant_boosting_traffic,inactive,2026-06-23,Prebieha,5,Denne,32.13,,,,,,1.905242,16864,10822,1.558307,299,0.107458,1.773008,2.430235,,,,0,0,194,0.165619,3330,0.009649,1,2,4,0.010671,17.854602,539
